epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2234,2.96865,3.42228,1.29486,0.00578,0.17243,0.00525,0.00155,2.21475,3.26268,1.0127,0.000541419,0.000541419,0.000541419
2,23.1119,2.69373,2.2944,1.17093,0.01317,0.45233,0.15566,0.05228,2.21414,2.58167,1.01073,0.00108157,0.00108157,0.00108157
3,33.6984,2.67389,2.16833,1.16874,0.01247,0.37646,0.02585,0.00832,2.71343,3.13116,1.21226,0.001606,0.001606,0.001606
4,44.2038,2.66064,2.06723,1.16177,0.19554,0.28256,0.1879,0.06197,2.32501,2.0259,1.05166,0.00159627,0.00159627,0.00159627
5,54.7414,2.61341,1.98386,1.1548,0.26596,0.30695,0.23247,0.09352,2.0886,1.8051,0.9998,0.0015727,0.0015727,0.0015727
6,65.2903,2.57606,1.94318,1.14775,0.22635,0.58929,0.28634,0.11635,2.16809,1.87206,1.0053,0.00154912,0.00154912,0.00154912
7,75.8017,2.55541,1.90286,1.1441,0.25309,0.4455,0.28262,0.1106,1.9693,1.72224,0.98702,0.00152554,0.00152554,0.00152554
8,86.3099,2.51932,1.86614,1.13245,0.30194,0.48468,0.27116,0.10421,2.06488,1.58742,0.9919,0.00150197,0.00150197,0.00150197
9,96.7795,2.51115,1.84858,1.12316,0.44419,0.51294,0.48608,0.24095,1.94329,1.5075,0.97323,0.00147839,0.00147839,0.00147839
10,107.25,2.49081,1.84276,1.12368,0.26286,0.43832,0.23191,0.08576,2.19423,1.85607,1.01565,0.00145481,0.00145481,0.00145481
11,117.726,2.49634,1.84015,1.12144,0.49995,0.41274,0.36366,0.14885,2.14687,1.63354,0.9888,0.00143124,0.00143124,0.00143124
12,128.225,2.45302,1.79916,1.11033,0.49168,0.4206,0.40053,0.16907,2.06359,1.58595,0.98977,0.00140766,0.00140766,0.00140766
13,138.697,2.43138,1.7731,1.0988,0.5272,0.52087,0.45468,0.18345,1.97765,1.42912,0.97695,0.00138409,0.00138409,0.00138409
14,149.162,2.41542,1.75094,1.09464,0.33969,0.43842,0.36193,0.16513,2.08403,1.58677,0.98927,0.00136051,0.00136051,0.00136051
15,159.646,2.41318,1.75567,1.09842,0.46246,0.50293,0.39838,0.17879,1.92198,1.51717,0.96306,0.00133693,0.00133693,0.00133693
16,170.248,2.43808,1.75166,1.10228,0.53026,0.50898,0.46723,0.20163,1.97069,1.50055,0.97763,0.00131336,0.00131336,0.00131336
17,180.736,2.39442,1.72567,1.08838,0.40335,0.40577,0.34835,0.14168,2.10352,1.62344,0.99014,0.00128978,0.00128978,0.00128978
18,191.193,2.3753,1.70524,1.08543,0.51705,0.51733,0.43105,0.17529,2.19119,1.48554,1.01053,0.00126621,0.00126621,0.00126621
19,201.66,2.39566,1.7119,1.08413,0.45138,0.55039,0.45098,0.21275,1.84768,1.42071,0.95034,0.00124263,0.00124263,0.00124263
20,212.114,2.34645,1.68338,1.075,0.44891,0.43141,0.37702,0.16155,2.1952,1.60169,1.01368,0.00121905,0.00121905,0.00121905
21,222.578,2.32378,1.64709,1.07812,0.54321,0.55896,0.54181,0.25881,1.84983,1.39631,0.94607,0.00119548,0.00119548,0.00119548
22,233.051,2.30052,1.63199,1.0709,0.53388,0.52435,0.48395,0.18432,2.11242,1.44996,0.9898,0.0011719,0.0011719,0.0011719
23,243.492,2.29237,1.60699,1.07017,0.53355,0.55269,0.49721,0.22013,2.05372,1.42982,0.98623,0.00114832,0.00114832,0.00114832
24,254.001,2.27074,1.58279,1.05092,0.45758,0.54835,0.41241,0.1841,1.91994,1.44629,0.9573,0.00112475,0.00112475,0.00112475
25,264.493,2.24383,1.56971,1.05712,0.39164,0.32963,0.32584,0.11937,2.64845,1.9005,1.07367,0.00110117,0.00110117,0.00110117
26,274.952,2.256,1.55758,1.04727,0.49153,0.5392,0.50016,0.23017,1.95744,1.39158,0.95587,0.0010776,0.0010776,0.0010776
27,285.395,2.2241,1.5469,1.04802,0.55412,0.60536,0.54705,0.26943,1.78024,1.35441,0.93321,0.00105402,0.00105402,0.00105402
28,295.898,2.19862,1.49519,1.03002,0.61983,0.56376,0.53831,0.23933,1.87613,1.33517,0.942,0.00103044,0.00103044,0.00103044
29,306.336,2.19538,1.50287,1.04193,0.45398,0.49837,0.46257,0.179,2.0214,1.43268,0.96784,0.00100687,0.00100687,0.00100687
30,316.856,2.16815,1.48413,1.03445,0.54209,0.56818,0.59475,0.29057,1.84036,1.25636,0.94484,0.000983292,0.000983292,0.000983292
31,327.607,2.14481,1.46504,1.02387,0.3351,0.4408,0.33409,0.1186,2.35786,1.52695,1.02296,0.000959716,0.000959716,0.000959716
32,338.306,2.16166,1.46691,1.02978,0.59671,0.5574,0.57324,0.30364,1.78626,1.24049,0.93299,0.00093614,0.00093614,0.00093614
33,348.897,2.14183,1.44676,1.02154,0.52175,0.49303,0.46619,0.20331,2.26422,1.44968,1.00294,0.000912563,0.000912563,0.000912563
34,359.452,2.13086,1.43677,1.01946,0.55129,0.56297,0.55301,0.26217,1.79525,1.21689,0.93671,0.000888987,0.000888987,0.000888987
35,369.992,2.11867,1.424,1.01442,0.50652,0.64333,0.57761,0.27189,1.8057,1.29046,0.93898,0.000865411,0.000865411,0.000865411
36,380.539,2.09546,1.40683,1.01356,0.52552,0.59412,0.56279,0.28478,1.69808,1.17467,0.92103,0.000841835,0.000841835,0.000841835
37,391.068,2.08292,1.3876,1.01181,0.65405,0.53012,0.55397,0.2682,1.8106,1.20617,0.93167,0.000818259,0.000818259,0.000818259
