epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8724,3.01268,3.50748,1.32812,0.00189,0.11619,0.00113,0.00037,2.52667,3.32728,1.06367,0.000541419,0.000541419,0.000541419
2,24.0049,2.76823,2.42362,1.19068,0.67428,0.18549,0.1471,0.04688,2.18786,2.44561,1.01903,0.00108157,0.00108157,0.00108157
3,34.8567,2.74837,2.28542,1.19631,0.00602,0.29976,0.00927,0.00302,2.77923,3.21943,1.22805,0.001606,0.001606,0.001606
4,45.858,2.75208,2.19172,1.20928,0.20632,0.10477,0.07781,0.03185,2.74345,2.86349,1.25381,0.00159627,0.00159627,0.00159627
5,56.8551,2.69921,2.09476,1.1917,0.3437,0.37405,0.28213,0.11435,2.24387,2.37685,1.03244,0.0015727,0.0015727,0.0015727
6,67.6696,2.67583,2.07045,1.17508,0.23591,0.2474,0.22637,0.08406,2.14912,1.8292,1.01567,0.00154912,0.00154912,0.00154912
7,78.4827,2.64913,2.0323,1.16677,0.39575,0.36327,0.3354,0.14752,2.12966,1.6525,1.01687,0.00152554,0.00152554,0.00152554
8,89.3677,2.63965,1.99604,1.1653,0.40229,0.34584,0.30752,0.12114,2.13488,1.68792,0.99681,0.00150197,0.00150197,0.00150197
9,100.198,2.60615,1.98194,1.1472,0.36577,0.47481,0.32369,0.14853,2.00427,1.54537,0.98282,0.00147839,0.00147839,0.00147839
10,110.94,2.59678,1.97064,1.15104,0.38122,0.35139,0.29754,0.13423,2.18551,1.7314,1.01844,0.00145481,0.00145481,0.00145481
11,121.817,2.57681,1.9445,1.15085,0.39345,0.3767,0.31631,0.1266,2.10618,1.7175,1.00209,0.00143124,0.00143124,0.00143124
12,132.607,2.5488,1.9307,1.13677,0.36148,0.52774,0.41078,0.1829,1.99235,1.51416,0.98065,0.00140766,0.00140766,0.00140766
13,143.328,2.53329,1.90848,1.12372,0.45817,0.44226,0.4242,0.17359,2.09199,1.53738,0.99774,0.00138409,0.00138409,0.00138409
14,154.111,2.51695,1.88036,1.1295,0.42563,0.36078,0.37179,0.18018,1.96548,1.47323,0.98119,0.00136051,0.00136051,0.00136051
15,164.897,2.5369,1.88499,1.12269,0.3406,0.48121,0.39308,0.195,2.02164,1.54581,0.98667,0.00133693,0.00133693,0.00133693
16,175.639,2.51993,1.88383,1.12055,0.40733,0.4152,0.38079,0.18037,1.88864,1.47296,0.96278,0.00131336,0.00131336,0.00131336
17,186.438,2.48182,1.86171,1.11319,0.51934,0.50348,0.43853,0.20234,1.89233,1.51421,0.95999,0.00128978,0.00128978,0.00128978
18,197.243,2.49319,1.86231,1.11863,0.41192,0.46728,0.37342,0.16418,2.02381,1.49634,0.98604,0.00126621,0.00126621,0.00126621
19,208.085,2.47323,1.83794,1.11295,0.43487,0.50418,0.44747,0.19781,1.9663,1.50281,0.97129,0.00124263,0.00124263,0.00124263
20,218.888,2.47351,1.84806,1.10901,0.43713,0.49381,0.41564,0.21634,2.01943,1.52657,0.99252,0.00121905,0.00121905,0.00121905
21,229.664,2.46065,1.82162,1.11212,0.35541,0.53357,0.45531,0.22164,2.00623,1.48528,0.99273,0.00119548,0.00119548,0.00119548
22,240.34,2.45177,1.80633,1.11473,0.42449,0.51693,0.43761,0.20812,1.93052,1.47787,0.97042,0.0011719,0.0011719,0.0011719
23,251.045,2.46391,1.81565,1.10504,0.4669,0.49276,0.46034,0.2003,2.00607,1.44999,0.98039,0.00114832,0.00114832,0.00114832
24,261.885,2.47481,1.83049,1.10785,0.51801,0.55138,0.49183,0.2251,1.87839,1.37367,0.96025,0.00112475,0.00112475,0.00112475
25,272.673,2.43152,1.78717,1.09627,0.39779,0.45641,0.42525,0.19734,2.12669,1.60158,1.0003,0.00110117,0.00110117,0.00110117
26,283.476,2.41784,1.77418,1.09582,0.50376,0.4601,0.44926,0.21832,1.97062,1.51254,0.9797,0.0010776,0.0010776,0.0010776
27,294.436,2.41481,1.78756,1.09322,0.55416,0.54275,0.56402,0.28857,1.83264,1.33875,0.949,0.00105402,0.00105402,0.00105402
28,305.25,2.41683,1.77707,1.10174,0.56432,0.51243,0.53374,0.26668,1.8626,1.35833,0.95817,0.00103044,0.00103044,0.00103044
29,316.078,2.43328,1.79035,1.09825,0.54562,0.58808,0.5704,0.27988,1.90631,1.35751,0.95576,0.00100687,0.00100687,0.00100687
30,326.84,2.38043,1.74436,1.08838,0.54881,0.56232,0.52785,0.26692,1.80134,1.35966,0.94379,0.000983292,0.000983292,0.000983292
31,337.623,2.36019,1.72728,1.08662,0.59842,0.47495,0.52249,0.26329,1.82397,1.33445,0.96006,0.000959716,0.000959716,0.000959716
32,348.681,2.36563,1.71033,1.08452,0.60505,0.53888,0.55483,0.28009,1.94965,1.44892,0.96883,0.00093614,0.00093614,0.00093614
