epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.171,2.96015,3.42328,1.29008,0.00224,0.10582,0.00136,0.00038,2.69079,3.3685,1.10037,0.000541419,0.000541419,0.000541419
2,23.1317,2.71919,2.34513,1.17663,0.06717,0.42942,0.10265,0.03051,2.41973,2.70997,1.08858,0.00108157,0.00108157,0.00108157
3,33.8554,2.69144,2.19166,1.17426,0.13861,0.25138,0.10555,0.03697,2.32577,2.05762,1.06335,0.001606,0.001606,0.001606
4,44.5284,2.68121,2.09875,1.18236,0.09717,0.44054,0.08094,0.02931,2.19136,2.33545,1.02515,0.00159627,0.00159627,0.00159627
5,55.141,2.63053,2.02109,1.16617,0.40648,0.3236,0.27452,0.12003,2.24445,2.0714,1.03444,0.0015727,0.0015727,0.0015727
6,65.7904,2.61098,1.98412,1.15542,0.37651,0.46107,0.36911,0.16015,2.1226,1.76282,1.00472,0.00154912,0.00154912,0.00154912
7,76.4135,2.57357,1.94157,1.14551,0.4148,0.37408,0.34309,0.15478,2.21512,1.85271,1.01551,0.00152554,0.00152554,0.00152554
8,87.0218,2.55995,1.89723,1.13964,0.28121,0.37896,0.2483,0.11008,1.98985,1.72463,0.97322,0.00150197,0.00150197,0.00150197
9,97.6831,2.52691,1.89658,1.12225,0.26789,0.41997,0.26078,0.10746,1.98383,1.86149,0.97687,0.00147839,0.00147839,0.00147839
10,108.243,2.50354,1.85424,1.12341,0.48016,0.4548,0.46108,0.2155,1.99833,1.49319,0.97825,0.00145481,0.00145481,0.00145481
11,118.831,2.48549,1.82133,1.11908,0.28385,0.47331,0.27454,0.10694,2.01412,1.67405,0.98006,0.00143124,0.00143124,0.00143124
12,129.385,2.46593,1.82496,1.11631,0.46544,0.51899,0.46345,0.21497,2.02956,1.52859,0.99604,0.00140766,0.00140766,0.00140766
13,139.948,2.48091,1.80888,1.10598,0.41323,0.42774,0.3591,0.13902,2.20369,1.57591,1.01813,0.00138409,0.00138409,0.00138409
14,150.496,2.44674,1.79031,1.11061,0.54239,0.45712,0.44203,0.19854,1.9708,1.50885,0.97953,0.00136051,0.00136051,0.00136051
15,161.079,2.44562,1.77446,1.09777,0.29442,0.39489,0.30889,0.14898,2.29892,1.89571,1.02098,0.00133693,0.00133693,0.00133693
16,171.642,2.43439,1.76269,1.09497,0.31898,0.32463,0.23793,0.10007,2.38181,2.01787,1.04173,0.00131336,0.00131336,0.00131336
17,182.199,2.40389,1.74684,1.08972,0.42494,0.51289,0.42964,0.20234,2.11168,1.6335,0.98818,0.00128978,0.00128978,0.00128978
18,192.758,2.41489,1.74587,1.09664,0.34464,0.40774,0.29161,0.09403,2.3056,1.61172,1.03245,0.00126621,0.00126621,0.00126621
19,203.279,2.38318,1.72894,1.08673,0.40677,0.47897,0.42296,0.21202,2.28572,1.66414,1.01946,0.00124263,0.00124263,0.00124263
20,213.865,2.38437,1.72694,1.08515,0.41041,0.43204,0.36336,0.16058,2.29461,1.65215,1.01063,0.00121905,0.00121905,0.00121905
21,224.409,2.36841,1.70393,1.08978,0.46269,0.51889,0.4622,0.20765,2.08076,1.51711,0.99402,0.00119548,0.00119548,0.00119548
22,234.927,2.35598,1.69267,1.0866,0.4077,0.4127,0.37769,0.14563,2.24675,1.68186,1.01763,0.0011719,0.0011719,0.0011719
23,245.494,2.35716,1.68659,1.07783,0.50114,0.4807,0.4893,0.22025,2.21631,1.48981,1.00299,0.00114832,0.00114832,0.00114832
24,256.07,2.35468,1.66729,1.07554,0.35725,0.41108,0.35227,0.14911,2.43021,1.76119,1.04185,0.00112475,0.00112475,0.00112475
25,266.623,2.31814,1.64285,1.06525,0.4674,0.57013,0.45448,0.20765,1.93562,1.37293,0.96047,0.00110117,0.00110117,0.00110117
26,277.158,2.29478,1.62586,1.06499,0.42177,0.5167,0.41925,0.18017,1.88235,1.42974,0.95546,0.0010776,0.0010776,0.0010776
27,287.737,2.29362,1.62553,1.06216,0.4082,0.41124,0.3727,0.17949,2.47596,1.77392,1.04781,0.00105402,0.00105402,0.00105402
28,298.356,2.26131,1.58525,1.06061,0.53461,0.48624,0.45837,0.20273,2.21331,1.50202,0.99398,0.00103044,0.00103044,0.00103044
