epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0685,2.89934,3.12383,1.26092,0.01226,0.4383,0.12529,0.03824,2.18305,2.66993,1.0142,0.000548543,0.000548543,0.000548543
2,45.2049,2.70868,2.27012,1.18007,0.16568,0.20182,0.15389,0.05179,2.20236,1.93565,1.01503,0.00108235,0.00108235,0.00108235
3,64.2404,2.67741,2.11855,1.17079,0.20132,0.25738,0.25311,0.10045,2.02816,1.70386,1.00316,0.00159414,0.00159414,0.00159414
4,75.8412,2.64323,2.01017,1.15641,0.29086,0.5415,0.35245,0.13947,2.17691,1.67837,1.02831,0.00156798,0.00156798,0.00156798
5,87.2994,2.62602,1.96925,1.16557,0.26691,0.39214,0.23836,0.08693,2.08088,1.81679,1.00617,0.00153497,0.00153497,0.00153497
6,98.7244,2.55468,1.90507,1.14285,0.3949,0.42912,0.33775,0.14298,2.06049,1.53933,1.00763,0.00150197,0.00150197,0.00150197
7,110.187,2.51546,1.88078,1.13452,0.46202,0.40004,0.37352,0.15978,2.08555,1.55662,1.00591,0.00146896,0.00146896,0.00146896
8,121.655,2.50948,1.85106,1.11714,0.68369,0.30566,0.2973,0.11788,2.10524,1.73669,1.01118,0.00143595,0.00143595,0.00143595
9,133.09,2.46816,1.83575,1.11461,0.33062,0.52781,0.32136,0.14725,1.93708,1.54385,0.97713,0.00140295,0.00140295,0.00140295
10,144.523,2.4823,1.84689,1.11405,0.39983,0.58888,0.51725,0.25514,1.91524,1.5609,0.97402,0.00136994,0.00136994,0.00136994
11,155.918,2.44846,1.82541,1.11136,0.51467,0.37907,0.38992,0.1169,2.28885,1.59779,1.032,0.00133693,0.00133693,0.00133693
12,167.388,2.46974,1.80725,1.1074,0.53581,0.43396,0.41203,0.17245,1.96257,1.55887,0.98887,0.00130393,0.00130393,0.00130393
13,178.811,2.44276,1.77791,1.09909,0.43886,0.50959,0.45325,0.2136,1.99666,1.50327,0.98987,0.00127092,0.00127092,0.00127092
14,190.304,2.43825,1.77903,1.10334,0.48022,0.48839,0.41421,0.17596,1.85382,1.51337,0.96304,0.00123791,0.00123791,0.00123791
15,201.768,2.41143,1.75185,1.09374,0.42373,0.51307,0.4979,0.22732,1.91628,1.42624,0.9689,0.00120491,0.00120491,0.00120491
16,213.216,2.36961,1.71877,1.08435,0.36907,0.42958,0.3898,0.1743,2.08986,1.60195,0.99139,0.0011719,0.0011719,0.0011719
17,224.611,2.35239,1.68113,1.07562,0.56692,0.48708,0.50486,0.2198,2.2295,1.54643,1.017,0.00113889,0.00113889,0.00113889
18,235.989,2.34454,1.67497,1.07226,0.54878,0.52356,0.51503,0.23514,1.85027,1.38941,0.95545,0.00110589,0.00110589,0.00110589
19,247.409,2.30457,1.64754,1.07279,0.39968,0.38409,0.33182,0.13304,2.38812,1.70155,1.03668,0.00107288,0.00107288,0.00107288
20,258.843,2.30806,1.62961,1.06324,0.23769,0.30161,0.17464,0.07533,2.84203,2.13559,1.14126,0.00103987,0.00103987,0.00103987
21,270.236,2.26794,1.57315,1.06341,0.56613,0.49078,0.52628,0.24299,1.96365,1.37573,0.97986,0.00100687,0.00100687,0.00100687
22,281.663,2.24495,1.57406,1.05521,0.59904,0.53939,0.53777,0.22549,1.95611,1.37616,0.97172,0.000973861,0.000973861,0.000973861
23,293.202,2.2259,1.52988,1.04034,0.47683,0.36409,0.38041,0.1352,2.14341,1.51319,0.99184,0.000940855,0.000940855,0.000940855
24,304.636,2.20628,1.51761,1.04526,0.53364,0.52069,0.48755,0.18711,2.03157,1.33864,0.97939,0.000907848,0.000907848,0.000907848
25,316.09,2.18796,1.4956,1.03889,0.45741,0.53306,0.49452,0.23519,2.12202,1.38064,0.99616,0.000874842,0.000874842,0.000874842
26,328.587,2.13722,1.4695,1.02323,0.56303,0.5403,0.5576,0.27049,1.89884,1.31406,0.96097,0.000841835,0.000841835,0.000841835
27,340.625,2.1535,1.46838,1.03002,0.51846,0.57402,0.58585,0.28831,1.78485,1.28654,0.9427,0.000808828,0.000808828,0.000808828
28,352.911,2.15145,1.44747,1.02616,0.55253,0.59056,0.55971,0.28116,1.7542,1.2744,0.93226,0.000775822,0.000775822,0.000775822
29,365.044,2.12688,1.43883,1.02743,0.5425,0.56108,0.57395,0.28883,1.96751,1.33946,0.96339,0.000742815,0.000742815,0.000742815
30,377.159,2.13196,1.42715,1.01661,0.59338,0.56079,0.59624,0.28785,1.75226,1.18728,0.92869,0.000709809,0.000709809,0.000709809
31,389.288,2.10459,1.41723,1.0223,0.62191,0.54269,0.57981,0.28691,1.91932,1.25805,0.95465,0.000676802,0.000676802,0.000676802
32,401.437,2.0628,1.39902,1.01531,0.56305,0.6259,0.59051,0.29379,1.67438,1.18894,0.92236,0.000643795,0.000643795,0.000643795
33,413.298,2.07456,1.40173,1.00928,0.53161,0.61075,0.5847,0.28931,1.72426,1.23629,0.92929,0.000610789,0.000610789,0.000610789
34,424.734,2.076,1.38206,1.00639,0.57536,0.56496,0.57478,0.29249,1.77352,1.2192,0.92934,0.000577782,0.000577782,0.000577782
35,436.119,2.05977,1.37323,1.00275,0.59056,0.60552,0.61015,0.32023,1.71445,1.19719,0.9237,0.000544776,0.000544776,0.000544776
36,447.485,2.04093,1.36445,1.0018,0.572,0.60389,0.58224,0.30987,1.69038,1.2113,0.92096,0.000511769,0.000511769,0.000511769
37,458.815,2.03685,1.34105,0.99859,0.57495,0.62361,0.60154,0.31049,1.6333,1.18202,0.91422,0.000478762,0.000478762,0.000478762
38,470.16,2.03412,1.33636,1.0025,0.58334,0.59927,0.59403,0.30256,1.89434,1.26711,0.94002,0.000445756,0.000445756,0.000445756
39,481.481,2.02657,1.34402,0.99484,0.62297,0.57271,0.59573,0.30659,1.60906,1.1862,0.91273,0.000412749,0.000412749,0.000412749
40,492.837,2.00812,1.32482,0.98942,0.59063,0.59363,0.59159,0.32147,1.65565,1.16927,0.91473,0.000379743,0.000379743,0.000379743
41,529.63,2.03644,1.37482,1.03208,0.60387,0.61682,0.57066,0.28132,1.61729,1.18206,0.91199,0.000346736,0.000346736,0.000346736
42,541.149,1.97703,1.34177,1.01686,0.61757,0.57258,0.59653,0.28357,1.72532,1.16292,0.92164,0.000313729,0.000313729,0.000313729
43,552.603,1.96601,1.32365,1.01204,0.60704,0.61487,0.60786,0.25604,1.89577,1.18914,0.93832,0.000280723,0.000280723,0.000280723
44,563.962,1.9382,1.31983,1.01021,0.58088,0.70747,0.6526,0.33308,1.60208,1.12846,0.9054,0.000247716,0.000247716,0.000247716
45,575.237,1.93367,1.30322,1.00627,0.67394,0.57157,0.60751,0.28325,1.71393,1.14838,0.91813,0.00021471,0.00021471,0.00021471
46,586.573,1.94329,1.30275,1.00579,0.59268,0.65447,0.61145,0.27555,1.76099,1.14817,0.92112,0.000181703,0.000181703,0.000181703
47,597.901,1.90349,1.28307,0.9983,0.59387,0.68547,0.63273,0.31905,1.56677,1.11504,0.90425,0.000148696,0.000148696,0.000148696
48,609.113,1.89269,1.26446,0.9959,0.63604,0.66787,0.63872,0.31505,1.60983,1.13118,0.90913,0.00011569,0.00011569,0.00011569
49,620.578,1.88179,1.27686,0.99434,0.68786,0.58308,0.63432,0.3129,1.60981,1.11122,0.90709,8.26832e-05,8.26832e-05,8.26832e-05
50,632.084,1.86073,1.24782,0.99352,0.59617,0.67116,0.63491,0.32172,1.61059,1.09682,0.9059,4.96766e-05,4.96766e-05,4.96766e-05
